Author	Quote
Haruki Murakami	Life is not like water. Things in life don't necessarily flow over the shortest possible route.
Roy T. Bennett	Life is short. Focus on what really matters most. You have to change your priorities over time.
Ralph Ellison	Life is to be lived, not controlled; and humanity is won by continuing to play in face of certain defeat.
Akansh Malik	Life is too short to repeat your mistakes, make new ones..!!
John Lennon	Life is very short, and there's no time for fussing and fighting my friends
Jane Austen	Life seems but a quick succession of busy nothings.
E.M. Forster	Life' wrote a friend of mine, 'is a public performance on the violin, in which you must learn the instrument as you go along.
Jim Henson	Life's like a movie, write your own ending. Keep believing, keep pretending.
Brent M. Jones	Life's trail can double back and retrace it's path several times but when it does you learn more. What is the same is also different.
Aaron Lauritsen	Life's trials will test you, and shape you, but dont let them change who you are.
Rajesh Walecha	Lift your morals high to fight the trap of gravity.
Sunday Adelaja	Light generates life and causes it to grow.
Gillian Duce	Light your life with purpose and all shadows will disappear.
James Mark Baldwin	Like all science, psychology is knowledge; and like science again, it is knowledge of a definite thing, the mind.
Louise Blackwick	Listen to me, dear. When life hands you something, you take it, for in all likelihood, there's a large crisis heading your way.
Unknown	Lite travles faster then sound.  This is why some poeple appeer brite until you here them speek.
Steve Maraboli	Live authentically. Why would you continue to compromise something that's beautiful to create something that is fake?
Christopher Paolini	Live in the present, remember the past, and fear not the future, for it doesn't exist and never shall. There is only now.
Henry David Thoreau	Live your beliefs and you can turn the world around.
Musa M.	living is more than just a pulse
Montaigne (Michel Eyquem de Montaigne)	Living is my job and my art.
Draya Mooney	Look at the stars. See their beauty. And in that beauty, see yourself.
	Lord, where we are wrong, make us willing to change; where we are right, make us easy to live with.
Yogi Berra	Losing is a learning experience. It teaches you humility. It teaches you to work harder. It's also a powerful motivator.
Jo Nesbo	Losing your life is not the worst thing that can happen. The worst thing is to lose your reason for living.
Dalai Lama XIV	Love is the absence of judgment.
Nico J. Genes	Love is the color in your life. Enjoy all the shades and new sensations that come with it, making you feel alive.
Brian Tracy	Love only grows by sharing. You can only have more for yourself by giving it away to others.
Steve Maraboli	Love yourself. Forgive yourself. Be true to yourself. How you treat yourself sets the standard for how others will treat you.
Tennessee Williams	Luck is believing you're lucky.
Arthur C. Clarke	Magic's just science that we don't understand yet.
Lailah Gifty Akita	Make plans for your new goals. And press towards achieving the goals with all your strength.
Sunday Adelaja	Make sure you are standing for something you believe in.
Zig Ziglar	Make today worth remembering.
Avina Celeste	Make your success a habit not just an act of whim.
Maria von Heland	Making comparisons can spoil your happiness.
Ludwig Wittgenstein	Man has to awaken to wonder - and so perhaps do peoples. Science is a way of sending him to sleep again.
Benjamin Franklin	Man is a tool-making animal.
Winston Churchill	Man will occasionally stumble over the truth, but most of the time he will pick himself up and continue on.
	Man, I was tame compared to what they do now, are you kidding? All that I ever did was just jiggle.
Thomas Edison	Many of life's failures are people who did not realise how close they were to success when they gave up.
Mia Hamm	Many people say I'm the best women's soccer player in the world. I don't think so. And because of that, someday I just might be.
	Many plays, are like blank checks. The actors and directors put their own signatures on them.
Dave Beard	Many years ago I resolved never to bother with New Year's resolutions, and I've stuck with it ever since.
Elon Musk	Mars is the only place in the solar system where it's possible for life to become multi-planetarian.
Unknown	Materialism: buying things we don't need with money we don't have to impress people that don't matter.
Wilfred James Dolor	Math is my Passion. Engineering is my Profession.
Unknown	Math puns are the first sine of madness!
John Arbuthnot	Mathematical Knowledge adds a manly Vigour to the Mind, frees it from Prejudice, Credulity, and Superstition.
Deepak Chopra	Mathematics expresses values that reflect the cosmos, including orderliness, balance, harmony, logic, and abstract beauty.
Plato	Mathematics is like checkers in being suitable for the young, not too difficult, amusing, and without peril to the state.
Abid Hussain Library Officer	May success knock your door always
Anthony T.Hincks	May the knowledge gained in one's lifetime become the new wisdom that will last for a thousand years.
Wendy Mass	Maybe some things aren't meant to be known. maybe there just meant to be accepted.
Alberto Manguel	Maybe this is why we read, and why in moments of darkness we return to books: to find words for what we already know.
James Bryce.	Medicine, the only profession that labors incessantly to destroy the reason for its own existence.
Rosa Parks	Memories of our lives, of our works and our deeds will continue in others.
George Carlin	Meow means woof in cat.
Hillary DePiano	Midnight on New Year's Eve is a unique kind of magic where, just for a moment, the past and the future exist at once in the present.
	Millions of spiritual creatures walk the earth unseen, both when we sleep and when we awake.
Brittany Burgunder	Mindset is everything. Like the eye of a storm -find the sunshine and calm within you, even if there is chaos outside of you.
Jean Cocteau	Mirrors should think longer before they reflect.
	Misspelled Aristocrat: 6th grade or less – 85-95 letters 19 or more unique Chi-Square < 30, K1 Key 9 letters or more.  I usually shoot for something humorous here.
Suzy Kassem	Momentum builds success.
Unknown	Money talks ...but all mine ever says is good-bye.
William Shakespeare	More matter with less art.
Craig D. Lounsbrough	More times than not, going backwards is a necessary part of going forwards.
Marty Rubin	Morning will come, it has no choice.
Thomas More	Most people know nothing about learning; many despise it. Dummies reject as too hard whatever is not dumb.
Bill Gates	Most people overestimate what they can do in one year and underestimate what they can do in ten years.
Albert Einstein	Most people say that it is the intellect which makes a great scientist. They are wrong: it is character.
Larry Niven	Mother Nature doesn't care if you're having fun.
Thomas Wentworth Higginson	Much which we think essential is merely a matter of habit.
Bruno Mars	Music is not math. It's science. You keep mixing the stuff up until it blows up on you, or it becomes this incredible potion.
Amit Kalantri	Music shouldn't be just a tune, it should be a touch.
Nikola Tesla	My belief is firm in a law of compensation. The true rewards are ever in proportion to the labor and sacrifices made.
Unknown	My best mates and I played a game of hiding and seek. It went on for hours... Well, good friends are hard to find.
Unknown	My dad finally left me a voicemail where he didn't introduce himself. I think we're getting closer.
Orson Welles	My doctor told me to stop having intimate dinners for four. Unless there are three other people.
Unknown	My dog and I both freak out whenever the doorbell rings but we run in opposite directions.
Unknown	My favorite part of Fall is walking through a hundred spider webs a day and screaming every single time.
Jack Thorne	My geekness is a-quivering.
Stephen Hawking	My goal is simple. It is a complete understanding of the universe, why it is as it is and why it exists at all.
Haruki Murakami	My grandpa always said asking a question is embarrass for a moment but not asking a question is embarrasing for a life time
Martin Luther	My heart, which is so full to overflowing, has often been solaced and refreshed by music when sick and weary.
	My idea of walking into the jaws of death is marrying some woman who has lost three husbands.
Tiger Woods	My main focus is on my game.
Nora Okja Keller	My mother was like a cat who could never catch the tail of happiness because she never stopped chasing it.
Unknown	My new year's resolution this year is to make a resolution that I can actually keep, like drink a glass of water before bed, tonight.
Tamyara Brown	My novels are written with the purpose of taking all of my character's mess and turning it into a beautiful masterpiece.
Unknown	My prince is not coming on a white horse... He's obviously riding a turtle, and definitely lost.
	My tattooing is indestructible. It is an everlasting gem that you will take into your grave.
Debasish Mridha MD	My technique is my love for my profession. When you love to do something, you do your best.
Neil deGrasse Tyson	My view is that if your philosophy is not unsettled daily then you are blind to all the universe has to offer.
Robert Lanza	Mystery is never disproof.
A.P.J. Abdul Kalam	Nations consist of people. And with their effort, a nation can accomplish all it could ever want.
Sunday Adelaja	Nations that have successfully converted better are those ones we refer to as developed nations today
Bertrand Russell	Neither a man nor a crowd nor a nation can be trusted to act humanely or to think sanely under the influence of a great fear.
Tyler Kent White	Never apologize for burning too brightly or collapsing into yourself every night. That is how galaxies are made.
Marty Rubin	Never confuse a hunger for knowledge with a thirst for truth.
Abhijit Naskar	Never confuse belief with knowledge.
Niels Bohr	Never express yourself more clearly than you are able to think.
Larry Niven	Never fire a laser at a mirror.
Bernard Baruch	Never follow the crowd.
Lailah Gifty Akita	Never forget your past.
H. Jackson Brown Jr.	Never give up on what you really want to do. The person with big dreams is more powerful than one with all the facts.
Debasish Mridha MD	Never give up your desire to be what you want to be. Stay focused, persistent and relentless.
Thomas S. Monson	Never let a problem to be solved, become more important than a person to be loved.
Roy T. Bennett	Never let hard lessons harden your heart; the hard lessons of life are meant to make you better, not bitter.
Henry David Thoreau	Never look back unless you are planning to go that way
Audrey Hepburn	Never regret anything that made you smile.
Bohdi Sanders	Never respond to an angry person with a fiery comeback, even if he deserves it...Don't allow his anger to become your anger.
Benjamin Franklin	Never ruin an apology with an excuse.
Victoria Addino	Never sit back and wait for a opportunity to find you, get up and search for one, it exists find it!
Debasish Mridha, M.D.	Never stop being kind, because everyone deserves it.
Santosh Kalwar	Never stop just because you feel defeated. The journey to the other side is attainable only after great suffering.
Eleanor Brownn	Never take life for granted. Savor every sunrise, because no one is promised tomorrow…or even the rest of today.
Niccolo Machiavelli	Never was anything great achieved without danger.
Lucy Maud Montgomery	Next to trying and winning, the best thing is trying and failing.
Alexander Graham Bell	Night is a more quiet time to work. It aids thought.
Aesop	No act of kindness, no matter how small, is ever wasted.
Stephen Fry	No adolescent ever wants to be understood, which is why they complain about being misunderstood all the time.
Albert Einstein	No amount of experimentation can ever prove me right; a single experiment can prove me wrong.
Lailah Gifty Akita	No experience is wasted. It is the stepping stones for a great success.
Isaac Newton	No great discovery was ever made without a bold guess.
Khalil Gibran	No man can reveal to you aught but that which already lies half asleep in the dawning of your knowledge.
Luis Chaluisan	No masterpiece was ever created by a lazy artist.
	No matter how old a mother is, she watches her middle-aged children for signs of improvement.
Walt Disney Company	No matter how your heart is grieving, if you keep on believing, the dreams that you wish will come true.
Sandy Brewer	No matter what happened yesterday it is insignificant when compared to what lies within the core of your being today.
Emily M. Axelrod	No matter what role you play in a meeting, how you show up in that role is critical to the meeting's success.
Steve Maraboli	No matter what your history has been, your destiny is what you create today. What are you going to create?
Laurell K. Hamilton	No name-calling truly bites deep unless, in some dark part of us, we believe it. If we are confident enough then it is just noise.
	No offense Apu, but when they were handing out religions you must have been out taking a whiz.
Robert J. Sawyer	No one disputes that seeming order can come out of the application of simple rules. But who wrote the rules?
Henry Petroski	No one wants to learn from mistakes, but we cannot learn enough from successes to go beyond the state of the art.
Samuel Johnson	No place affords a more striking conviction of the vanity of human hopes, than a public library.
BACON	No pleasure is comparable to the standing upon the vantage-ground of truth.
Democritus	No power and no treasure can outweigh the extension of our knowledge.
A.P.J. Abdul Kalam	No sanction can stand against ignited minds.
Srinivasa Ramanujan	No, it is a very interesting number, it is the smallest number expressible as a sum of two cubes in two different ways.
William Morris	Not on one strand are all life's jewels strung.
	Nothing can resist the human will that will stake even its existence on its stated purpose.
	Nothing has any power over me other than that which I give it through my conscious thoughts.
BEACONSFIELD	Nothing in life is more remarkable than the unnecessary anxiety which we endure and generally occasion ourselves.
Marie Curie	Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less.
Howard Nemerov	Nothing in the universe can travel at the speed of light, they say, forgetful of the shadow`s speed.
	Nothing is faster than the speed of light. To prove this to yourself, try opening the refrigerator door before the light comes on.
Amy Chua	Nothing is fun until you're good at it.
A. P. Herbert	Nothing is wasted, nothing is in vain: The seas roll over but the rocks remain.
Robert Greenleaf	Nothing much happens without a dream. For something really great to happen, it takes a really great dream.
Marty Rubin	Nothing succeeds like indifference to success.
Eraldo Banovac	Nowadays, focusing on transferring applicable knowledge is a very challenging task that all teachers face.
	O what fine thought we had because we thought that the worst rogues and rascals had died out.
Henry Ford	Obsticalls aer tohes frightning thinsg that beecmoe vsiible wen we take are eyes off ar goles.
Isaac Asimov	Of all extinct life-forms, dinosaurs are the most popular. Why that should be is not clear.
Nikola Tesla	Of all things, I liked books best.
	Of course there is learning without teaching. It's just commonly referred to by another name: science.
Mark Twain	Often it does seem such a pity that Noah and his party did not miss the boat.
Stephen Wright	OK, so what's the speed of dark ?
Curtis Tyrone Jones	Old lady failure died giving birth to twin giants named confidence & optimism, but her name lives on as the mother of success.
Oscar Wilde	On an occasion of this kind it becomes more than a moral duty to speak one's mind. It becomes a pleasure.
Unknown	On the other hand, you have different fingers.
Richard Feynman	Once I get on a puzzle, I can't get off.
Bhuwan Thapaliya	Once in a while, however, the impossible happens in life. Just hang in there.
Albert Einstein	Once we accept our limits, we go beyond them.
Albert Einstein	Once you can accept the universe as matter expanding into nothing that is something, wearing stripes with plaid comes easy.
Duke Leto Atreides	Once you have explored a fear, it becomes less terrifying. Part of courage comes from extending our knowledge.
J.K. Rowling	One can never have enough socks
Beverly Donofrio	One day can change your life. One day can ruin your life. All life is is three or four big days that change everything.
	One good husband is worth two good wives, for the scarcer things are, the more they are valued.
Antonio Porchia	One lives in the hope of becoming a memory.
Groucho Marx	One morning I shot an elephant in my pajamas. How he got in my pajamas I'll never know.
Kay Redfield Jamison	One of the advantages of science is that one's work, ultimately, is either replicated or it is not.
Roy T. Bennett	One of the best ways to influence people is to make them feel important.
Jimmy Buffett	One of the inescapable encumbrances of leading an interesting life is that there have to be moments when you almost lose it.
Karen Arnold	One of the problems with having time to read all that you want is that your interests become so eclectic it's hard to focus.
Iris Murdoch	One of the secrets of a happy life is continuous small treats.
Brian Greene	One of the wonders of science is that it is completely universal. It crosses national boundaries with total ease.
Jeremy Piven	One person's success doesn't take away from your own.
Edward O. Wilson	One planet, one experiment.
John Burroughs	One resolution I have made, and try always to keep, is this — To rise above the little things.
Abhijit Naskar	One who knows what he or she knows as well as what he or she does not know is a genius.
Roy T. Bennett	One word of encouragement can be enough to spark someone's motivation to continue with a difficult challenge.
Haruki Murakami	Only through knowing could a person become strong.
Chris Grosser	Opportunities don't happen, you create them.
Helen Keller	Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.
Rousseau Jean-Jacques	Or, rather, let us be more simple and less vain.
Alexander Pope	Order is heaven's first law.
A. A. Milne	Organizing is what you do before you do something, so that when you do it, it is not all mixed up.
Jack Kerouac	Our battered suitcases were piled on the sidewalk again; we had longer ways to go. But no matter, the road is life
Enola	Our future is up to us.
Francis Chan	Our greatest fear should not be of failure but of succeeding at things in life that don't really matter.
Maria Koszler	Our lives are just a journey back to THE LIGHT
Israelmore Ayivor	Our obstacles are tough, so are our potentials. If we don't unleash our potentials, our obstacles will cripple us!
	Our prejudices are like physical infirmities - we cannot do what they prevent us from doing.
Carl Sagan	Our species needs, and deserves, a citizenry with minds wide awake and a basic understanding of how the world works.
Mustafa Kemal Atatürk	Our true mentor in life is science.
Nikola Tesla	Our virtues and our failings are inseparable, like force and matter. When they separate, man is no more
Chaucer	Out of the fullness of the heart, the mouth speaks.
COLTON	Patience is the support of weakness; impatience is the ruin of strength.
Nicky Verd	Pay attention to your calling and the world will pay attention to you
Benjamin Franklin	Pay what you owe and what you're worth you'll know.
Sri Chinmoy	Peace begins when expectations end.
Truth Devour	Peer beyond the wall of doubt to embrace the possibilities.
Lisa Nichols	People are more comfortable with a familiar discomfort than they are with an unfamiliar new possibility.
Jess C. Scott	People are sheep. TV is the shepherd.
Sunday Adelaja	People are successful today because they work hard with an incredible faith in themselves in converting their time
Unknown	People don't get my puns. They think they're funny.
Charles Bukowski	People don't need love. What they need is success in one form or another. It can be love but it needn't be.
Zig Ziglar	People often say that motivation doesn't last. Well, neither does bathing – that's why we recommend it daily.
Retta	People who are going to be successful know it's gonna happen. And those people tend to hustle until it does happen.
	People who cannot recognize a palpable absurdity are very much in the way of civilization.
Jennifer White	People who tell you to stop living in a fairytale world are very likely people who live in a horror movie.
W. Somerset Maugham	Perfect is determined in shortened measures of time, not over long periods of time or lifetimes. It would be unnatural.
Voltaire	Perfect is the enemy of good.
Antoine de Saint Exupery	Perfection is achieved, not when there is nothing more to add, but when there is nothing left to take away.
Edward Counsel	Perfection is an undiscovered jewel.
Thomas Leroy	Perfection is not just about control. It's also about letting go. Surprise yourself so you can surprise the audience.
Friedrich Nietzsche	Perhaps I know best why it is man alone who laughs; he alone suffers so deeply that he had to invent laughter.
Bertrand Russell	Philosophy, from the earliest times, has made greater claims, and achieved fewer results, than any other branch of learning.
Steve Maraboli	Plant seeds of happiness, hope, success, and love; it will all come back to you in abundance. This is the law of nature.
Unknown	Police have arrested the World tongue-twister Champion. I imagine he'll be given a tough sentence.
Rajesh Walecha	Possibility of life on any planet needs availability of air,water,sun-rays and vegetation not money and property.
Robert H. Schuller	Press on. Obstacles are seldom the same size tomorrow as they are today.
Tahir Shah	Previous journeys in search of treasure have taught me that a zigzag strategy is the best way to get ahead.
	Problems are the price of progress. Don't bring me anything but trouble. Good news weakens me.
Daniel C. Dennett	Problems in science are sometimes made easier by adding complications.
Paul Erdos	Problems worthy of attack prove their worth by fighting back.
Mary Lamia	Procrastination should not be linked with failure, just as early action should not be tied to success.
Marissa Mayer	Product management really is the fusion between technology, what engineers do - and the business side.
Amanda Cross	Professors of literature collect books the way a ship collects barnacles, without seeming effort.
Abhijit Naskar	Progress of the human society is predicated upon the proper functioning of a key element of the human mind, that is reasoning.
VAUVENARGUES	Prosperity makes some friends and many enemies.
Edward Thorndike	Psychology is the science of the intellects, characters and behavior of animals including man.
Isaac Asimov	Psychology marks the triumph of human evolution. How many other species would need a science of the mind?
QUARLES	Put off thy cares with thy clothes; so shall thy rest strengthen thy labor; and so shall thy labor sweeten thy rest.
Adam Silvera	Puzzles are sort of like life because you can mess up and rebuild later, and you're likely smarter the next time around.
Rajen Jani	Quality is all about taking care of the details.
Stephen Wright	Quantum Mechanics: The stuff dreams are made of.
Yuval Noah Harari	Questions you cannot answer are usually far better for you than answers you cannot question.
Stephen Hawking	Quiet people have the loudest minds.
	Radical historians now tell the story of Thanksgiving from the point of view of the turkey.
Patricia Cornwell	rain slowly slides down the glass as if the night is crying.
Abhilash 'Nox' Baruah	Rash decisions will more often than not, result in the demise of the chances you could have had with a situation; now foregone.
Christa McAuliffe	Reach for the stars.
Hank Green	Read books. Care about things. Get excited. Try not to be too down on yourself. Enjoy the ever present game of knowing.
Angela Carter	Reading a book is like re-writing it for yourself.
Nellotie Porter Chastain	Reading fills us with knowledge and exercises our emotions.
Tom Swyers	Real ballplayers pass the stuffing by rolling it up in a ball and batting it across the table with a turkey leg.
Ezra Pound	Real education must ultimately be limited to one who insists on knowing, the rest is mere sheep-herding.
Oscar Auliq-Ice	Real life can never have a written lie all over it.
Jules Verne	Reality provides us with facts so romantic that imagination itself could add nothing to them.
Farshad Asl	Regret is one the scariest words in any language and success is one of the most beautiful ones. What are you waiting for?
Bernard Branson	Rejection is an opportunity for your selection.
Vicki Corona	Remember that life is not measured by the number of breaths we take, but by the moments that take our breath away!
Roy T. Bennett	Remember that things are not always as they appear to be… Curiosity creates possibilities and opportunities.
Lois McMaster Bujold	Reputation is what other people know about you. Honor is what you know about yourself.
Steven Magee	Research is an endless loop of failures interspersed with occasional profound discoveries.
Marston Bates	Research is the process of going up alleys to see if they are blind.
Roy T. Bennett	Respect other people's feelings. It might mean nothing to you, but it could mean everything to them. 
	Results! Why, man, I have gotten a lot of results. I know several thousand things that won't work.
Werner Heisenberg	Revere those things beyond science which really matter and about which it is so difficult to speak.
	Reverie is when ideas float in our mind without reflection or regard of the understanding.
Elon Musk	Rockets are cool. There's no getting around that.
J.K. Rowling	said Sirius seriously
Jennifer Ritchie Payette	Save more than you spend, but do not hoard. Reinvest. Grow. Focus on replowing your fields so they bear fruit.
James Luceno	Science doesn't take sides, does it?
Marion Zimmer Bradley	Science fiction encourages us to explore... all the futures, good and bad, that the human mind can envision.
Brian Aldiss	Science fiction is no more written for scientists that ghost stories are written for ghosts.
Alex Hutchinson	Science has confirmed what athletes have always believed: that there's more in there—if you're willing to believe it.
Amit Kalantri	Science has given us the truth but taken away our tranquillity.
Anonymous	Science has now determined there is a direct relationship between the way the ball bounces and the cookie crumbles.
Oliver Wendell Holmes Sr.	Science is a first-rate piece of furniture for a man's upper chamber, if he has common sense on the ground floor.
Scott Adams	Science is a good thing. News reporters are good things too. But it's never a good idea to put them in the same room.
Tim Hunt	Science is about applying what we know and asking what we don't know.
Crane Brinton	Science is based not on faith but in skeptism
Kurt Vonnegut	Science is magic that works.
Bill Gaede	Science is not about making predictions or performing experiments. Science is about explaining.
Stephen Hawking	Science is not only a disciple of reason but, also, one of romance and passion.
Carl Sagan	Science is only a Latin word for knowledge
Herbert Spencer	Science is organized knowledge.
R. Buckminster Fuller	Science is the attempt to set in order the facts of experience.
Abhijit Naskar	Science is the human endeavor to elevate the self and the society from the darkness of ignorance into the light of wisdom.
Richard Dawkins	Science is the poetry of reality.
Brian Greene	Science is the process that takes us from confusion to understanding.
Donald Knuth	Science is what we understand well enough to explain to a computer. Art is everything else we do.
William Gurstelle	Science isn't just about blowing things up. Rather it's about blowing things up and knowing how you did it.
Richard Dawkins	Science replaces private prejudice with public, verifiable evidence.
Abraham Flexner	Science, in the very act of solving problems, creates more of them.
Michio Kaku	Scientific revolutions, almost by definition, defy common sense.
James A. Michener	Scientists dream about doing great things. Engineers do them.
Lailah Gifty Akita	Search for the good ways. And walk in right path.
Ray Bradbury	Self-consciousness is the enemy of all art, be it acting, writing, painting, or living itself, which is the greatest art of all.
Sunday Adelaja	Self-discovery is the key to knowing what to do with your life.
Dalai Lama XIV	Share your knowledge. It is a way to achieve immortality.
Cecelia Ahern	Shoot for the moon, even if you fail, you'll land among the stars
F. Scott Fitzgerald	Show me a hero and I will write you a tragedy.
James Joyce	Shut your eyes and see.
Sam Levenson	Siblings: children of the same parents, each of whom is perfectly normal until they get together.
	Sin lies only in hurting other people unnecessarily. All other "sins" are invented nonsense.
Steve Maraboli	Smile at strangers and you just might change a life.
Rajesh Walecha	Smile suppress worries as Rose suppress thorns.
Judy Blume	Snoring keeps the monsters away.
Malcolm X	So early in my life, I had learned that if you want something, you had better make some noise.
Stanley Victor Paskavich	So many wish for magic so many beg for fame, but if you could manifest anything you want life would be a boring game.
Will Durant	So the story of man runs in a dreary circle, because he is not yet master of the earth that holds him.
Jamie Zawinski	Software Engineering might be science; but that's not what I do. I'm a hacker, not an engineer.
Erol Ozan	Some beautiful paths can't be discovered without getting lost.
David Levithan	Some days are like this. And the only way to get through them is to remember that they are only one day, and that every day ends.
Michel de Montaigne	Some may feel a bittersweet pricking of malicious delight while contemplating misfortune by others.
Surgeo Bell	Some of the most beautiful things we have in life comes from our mistakes.
Jim Morrison	Some of the worst mistakes in my life were haircuts
Unknown	Some people feel the rain. Others just get wet.
Unknown	Some people only gets called by their nicknames. Usually it sounds weird to even say their real name.
Ruth Rendell	Some say life is the thing, but I prefer reading.
	Some scholars are like donkeys, they merely carry a lot of books.
Haruki Murakami	Some things in life are too complicated to explain in any language.
Tamora Pierce	Someday I must read this scholar Everyone. He seems to have written so much--all of it wrong.
Albert Einstein	Something deeply hidden had to be behind things.
Charles Schulz	Sometimes I lie awake at night and I ask, "Why me?", then a voice answers "Nothing personal, your name just happened to come up.
Arthur C. Clarke	Sometimes I think we're alone in the universe, and sometimes I think we're not. In either case the idea is quite staggering.
Ahmad Ardalan	Sometimes in life, a sudden situation, a moment in time, alters your whole life, forever changes the road ahead.
Alexandra Adornetto	Sometimes it's better to stop trying to make sense of things. Life isn't clear cut, there are always gray areas.
Anamika Mishra	Sometimes it's the complication, which just lies in our minds
Nicole Lyons	Sometimes love is nothing more than a sticky web; illusions spun from clever minds and bitter hearts.
	Sometimes people who live in glass houses throw stones because their windows are painted
Kellie Elmore	Sometimes the only way to ever find yourself is to get completely lost.
Mimi Novic	Sometimes the only way to find the answers, is not to travel far away, but to venture deeper within ourselves.
Dr. Seuss	Sometimes the questions are complicated and the answers are simple.
Abhijit Naskar	Sometimes to see the truth, you must turn blind to the obvious.
Suzy Kassem	Sometimes we have to soak ourselves in the tears and fears of the past to water our future gardens.
Jodi Picoult	Sometimes you can see things happen right in front of your eyes and still jump to the wrong conclusions.
Sophie Kinsella	sometimes you don't need a goal in life, you don't need to know the big picture. you just need to know what you're going to do next!
Jeannette Walls	Sometimes you need a little crisis to get your adrenaline flowing and help you realize your potential.
Jaree Francis	Sometimes you're not ready to give the world quite what it wants. And that's okay, because the Earth is generously patient.
Christopher Barzak	Sometimes you've got to be able to listen to yourself and be okay with no one else understanding.
Garth Stein	Somewhere, the zebra is dancing.
- Just Bill @WilliamAder	Sorry about last year, when I gave your Thanksgiving dinner a bad Yelp review, but those potatoes were "whipped," not "mashed.
Benjamin Franklin	Speak ill of no man, but speak all the good you know of everybody.
Cookie Monster	Speak softly and carry big cookie. Big enough to share with a good friend.
Lawrence Peter	Speak when you are angry, and you'll make the best speech you'll ever regret.
Sunday Adelaja	Specific knowledge is needed in every work, if we want to have success
Annie Dillard	Spend the afternoon, you can't take it with you.
Francis of Assisi	Start by doing what's necessary; then do what's possible; and suddenly you are doing the impossible.
Abhijit Naskar	Start small and keep going.
Debasish Mridha MD	Start your journey with purpose and vision, pursue it with great passion.
Amit Kalantri	State first, subject second, statesman last.
Henry Clay	Statistics are no substitute for judgment.
Evan Esar	Statistics: The only science that enables different experts using the same figures to draw different conclusions.
Steve Maraboli	Stay focused. Not every distraction is a worthy detour.
Lease L. Youmans	Stop sitting on the sidelines of everyone else's life and become and active participant in your own life.
Roshani Chokshi	Stories, knowledge...they set the mind alight.
Dolly Parton	Storms make trees take deeper roots.
Rod McKuen	Strangers are just friends waiting to happen.
Albert Einstein	Strive not to be a success, but rather to be of value.
COLTON	Strong as our passions are, they may be starved into submission, and conquered without being killed.
Kamal Ravikant	Success and failure come and go, but don't let them define you. It's who you are that matters.
Gerard de Marigny	Success can be defined in many ways but failure in only one ... quitting!
Chas. W. Wendte.	Success in life is a matter not so much of talent or opportunity as of concentration and perseverance.
Debasish Mridha	Success is a condition that gives us the ability to do what makes us happy.
Steve Backley	Success is a decision, not a gift.
Mapogo Chuene	Success is a game which we measure not by the intentions of our opponents, but by the effects of their play.
	Success is a tale of obstacles overcome, and for every obstacle overcome, an excuse not used.
Victor Bello Accioly	Success is complete only when it does not change who we are and neither pulls us away from our true friends.
Balroop Singh	Success is not just to be at peace with your achievements. It is also developing the ability to inspire people around you.
Muhammad Adb Al-Rahman Al-Arifi	Success is not to discover what others like, it is to acquire and practise the skills that help one gain their love.
Topsy Gift	Success is only possible to those whose hearts are willing and ready to embrace hard work
T. Jay Taylor	Success may require a lot of days. But progress only requires one.
Marianne Williamson	Success means we go to sleep at night knowing that our talents and ablities were used in a way that served others.
Debasish Mridha	Success without happiness is a mirage of life.
Ben Carson	Successful people don't have fewer problems. They have determined that nothing will stop them from going forward.
Jim Rohn	Successful people have libraries. The rest have big screen TVs
Isaac Asimov	Such is the respect for physicians that most people are astonished when one of them falls sick—and yet they do.
Bumper sticker.	Support bacteria, it's the only culture some people have.
Linda Shalaway	Take a deep breath, count to ten, and tackle each task one step at a time.
Goethe	Talents are best nurtured in solitude; character is best formed in the stormy billows of the world.
Bruce Dickinson	Teachers need to be more inspirational. But it's also up to engineering to make itself more interesting.
Hosea Ballou	Tears of joy are like the summer rain drops pierced by sunbeams.
Abhijit Naskar	Technology was supposed to be the help in life, instead it has become the major driving force behind life.
Thomas Babington Macaulay	Teh hgihest intallex, like teh tops of mountains, are the frist to ctach an two reflect teh dawn.
Jean Anthelme Brillat-Savarin	Tell me what you eat and I will tell you who you are.
Robert Beau	Thanksgiving would be better if the pilgrims had shot a lobster and the Indians brought French fries.
A. J. Cronin	That is life... to begin again when everything is lost!
John Bird	That was the week that was.
Calvin	That's the problem with nature. Something's always stinging you or oozing mucus on you. Let's go watch TV.
Jhumpa Lahiri	That's the thing about books. They let you travel without moving your feet.
Nicole Krauss	That's what I do. Watch movies and read. Sometimes I even pretend to write, but I'm not fooling anyone. Oh, and I go to the mailbox.
Tanya Masse	The ability to go from one failure to another without loss of enthusiasm is the ultimate foundation of success and strength.
George Lucas	The ability to speak does not make you intelligent.
Vince Lombardi	The achievemenst of an oragnizashun aer the rezults of teh combnied effrot of each indavidule.
Alexander Graham Bell	The achievement of one goal should be the starting point of another.
Brian Tracy	The act of taking the first step is what separates the winners from the losers.
Kelly Easton	The atoms of the earth are formed inside of stars. Nothing really dies, everything is transformed.
Anthony T.Hincks	The autonomy of life is known throughout the universe.
Von Clausewitz	The backbone of surprise is fusing speed with secrecy.
Steven Magee	The backbone of the electrical grid is largely massive numbers of steam driven engines that turn electrical generators.
Charles Baudelaire	The beautiful is always bizarre.
